Quarter,Avg. M-Score,Weighted_M,Count,average M trend,average WM trend,average M velocity,average M acceleration,average WM velocity,average WM acceleration,sp500 return,sp500 return trend,sp500 velocity,sp500 acceleration,indu return,indu return trend,indu velocity,indu acceleration,GDPC1,WPSID62,WPSID62 trend,WPSID62 velocity,WPSID62 acceleration,T10Y2Y,T10Y2Y trend,T10Y2Y velocity,T10Y2Y acceleration,average beta,average MCAP,WAB,average beta trend,average MCAP trend,WAB trend,average beta velocity,average beta acceleration,average MCAP velocity,average MCAP acceleration,WAB velocity,WAB acceleration
1983Q2,-2.479808813,-2.952432112,156,-2.455344208,-2.455344208,0.016366039,-0.033039846,0.016366039,-0.033039846,0.008821411,0.0002388202344444,6.076747222222181e-06,3.658043055555561e-05,0.017976,0.0001832722222222,-1.1555555555556318e-06,6.555138888888885e-05,7194.504,100.5,100.29999999999998,-0.7000000000000028,0.6000000000000014,0.73,0.7827500000000001,0.0008124999999999,-0.00021875,0.6312235837329071,277651.26754320366,0.0001657909450329,0.6268858406598457,270314.32567432546,0.0001649635209441,0.0145179934193208,-0.0038079513978072,-135.32169783016434,-4107.3543855773605,-1.894780279997264e-06,-5.073663598156064e-07
1983Q3,-2.414456317,-2.927088654,156,-2.493088625,-2.493088625,-0.014421496,-0.012143898,-0.014421496,-0.012143898,-0.006936554,-2.075539777777777e-05,0.0001598137444444,2.332957222222218e-05,0.00562,0.0005536,0.0001314777777777,5.229027777777778e-05,7344.597,103.3,102.9,0.5,-1.1999999999999993,0.91,0.8883749999999999,0.0024374999999999,0.0001666666666667,0.6360054813292223,265443.5230612213,0.0001570548406848,0.6393154563510153,260080.2614193938,0.0001568651468551,-0.004023763623234,-0.0030835091488492,-2941.7336590900086,731.4944059570771,-2.9991115889373664e-06,7.04068088836556e-08
1983Q4,-2.585000746,-2.714265934,159,-2.484187199,-2.484187199,-0.007921757,0.006941673,-0.007921757,0.006941673,0.000424603,-0.0005843936777777,-7.370779444444437e-05,1.985798055555549e-05,0.010515,-0.0006630388888888,-6.22555555555556e-05,1.567777777777783e-05,7488.167,103.5,103.46666666666664,1.1499999999999986,0.0,0.97,1.014375,0.0001666666666666,-1.0416666666679396e-05,0.6177319078947369,253080.7661020724,0.0001488096670621,0.6239975682295897,251532.5237792452,0.0001492707495532,0.0003212204049776,0.0031497890512173,-6073.900309947392,-1618.9483412218833,-1.177710375988467e-06,9.145374684854196e-07
1984Q1,-2.453104534,-2.852814257,161,-2.508932139,-2.508932139,-0.000538149,0.009742951,-0.000538149,0.009742951,-0.002131394,-0.0007037765966666,6.339875555555561e-05,-1.6236519444444365e-05,0.006902,-0.0007950055555555,4.092499999999998e-05,-3.940277777777777e-05,7617.547,105.7,104.9,0.7000000000000028,-0.5750000000000028,0.93,0.9457083333333332,-0.0031666666666666,-8.333333333326864e-05,0.6180575192802057,239890.5755912404,0.0001471698873036,0.6178068699210846,235173.8432895381,0.0001478753301167,-0.0089827152098443,-0.0019076844782129,-2850.2627659960417,-149.06491644024936,-8.306170413000441e-07,-1.0358575259869658e-07
1984Q2,-2.488691138,-2.851966748,169,-2.485263498,-2.485263498,0.011564145,0.004552662,0.011564145,0.004552662,0.002224549,0.0004679089011111,-0.0001294680555555,3.153595972222224e-05,0.01849,0.0006446888888888,-0.0001025527777777,3.561527777777774e-05,7690.985,103.3,103.93333333333332,-0.25,0.4750000000000014,0.67,0.6030416666666667,-0.0041249999999999,-0.0001249999999999,0.5904661893396976,225284.82916518697,0.0001468750301578,0.5964498869217447,222652.4899900852,0.0001463948577213,-0.0034816684505676,0.0026943632067425,638.4685035039874,5215.220437618351,7.763011021605869e-07,7.923369620695635e-07
1984Q3,-2.513994821,-2.770894019,172,-2.485803849,-2.485803849,0.008567174,0.013363838,0.008567174,0.013363838,-0.005150934,0.0010136269522222,-0.0001080344055555,1.0691995833333284e-05,0.003838,0.0009879388888888,-0.0001327111111111,1.6562499999999976e-05,7754.117,102.8,102.53333333333332,-0.8999999999999986,0.0750000000000028,0.4,0.6246666666666667,0.0066666666666667,0.0005729166666666,0.5920095541401275,240989.089702957,0.0001507089437551,0.5896069698745433,240017.4310925862,0.0001509843669658,-0.0073783769008345,-0.0036380651556925,2536.4944851406326,-3117.621879338621,6.903568027752816e-07,-7.411667044164507e-07
1984Q4,-2.454725589,-2.839044377,180,-2.46812915,-2.46812915,0.038291822,0.005522199,0.038291822,0.005522199,0.005894382,0.0009654850833333,-1.8324388888888874e-05,6.483220833333335e-06,0.020255,0.0008342499999999,-3.2750000000000064e-05,5.341666666666684e-06,7829.26,101.4,101.06666666666666,-1.0,-0.4750000000000014,1.53,1.1174583333333334,0.0064583333333334,-0.00028125,0.5677145135566188,240740.59700866503,0.0001513388649401,0.5719712678889534,244876.37656668515,0.000151410187966,0.0011904904553033,0.0027350443226047,7048.469793164608,2162.645036908907,4.303852362743933e-07,-1.5937644299196158e-07
1985Q1,-2.435667039,-2.885378791,182,-2.409220205,-2.409220205,0.019611572,-0.025743988,0.019611572,-0.025743988,0.006238164,0.0007849134,-8.713972222222904e-07,1.872180277777779e-05,0.01661,0.00049745,-6.991666666666724e-06,3.468611111111114e-05,7898.194,97.6,97.9,-1.3500000000000014,0.1250000000000035,1.22,1.3625416666666663,0.0001875,-0.0004687499999999,0.5739615692554043,260043.4266406277,0.000150316908247,0.5753590390880087,259705.3798989233,0.0001504146731562,0.0006189493513927,0.0002341520440759,2042.510964774716,629.056974642328,-4.782370500282387e-07,3.51121799824733e-07
1985Q2,-2.337267988,-2.821664709,196,-2.428906006,-2.428906006,-0.013196155,-0.007494335,-0.013196155,-0.007494335,0.003242169,0.0003420657277777,-5.613639166666672e-05,4.057090972222222e-05,0.013662,0.0005671277777777,-3.366388888888884e-05,4.246250000000006e-05,8018.809,95.2,95.3,-0.4499999999999957,-0.1999999999999993,1.58,1.4331250000000002,0.0024166666666666,0.0002083333333332,0.5777158908507223,276316.99803351366,0.0001501269879997,0.578035423292823,274801.641148633,0.0001512674782356,-0.000263008913413,0.0015712031202372,3958.805202398944,-3329.2497045495984,3.47188085165676e-07,-1.0000465604641809e-07
1985Q3,-2.51378299,-2.840889822,200,-2.435612515,-2.435612515,0.004622903,0.018054145,0.004622903,0.018054145,0.004302261,0.0004972082488888,5.782617500000003e-05,0.0001082278402777,0.017308,0.0009936055555555,5.252777777777808e-06,7.149166666666677e-05,8078.415,91.8,92.93333333333332,0.5999999999999943,1.7500000000000036,1.43,1.3387916666666668,-0.0045416666666667,-0.00015625,0.60143611066688,264084.15874646406,0.0001516385514876,0.5892623214065111,271817.9801516427,0.0001509664590754,0.0020298282564016,-0.0041316005262361,474.6201185896935,3935.659543869435,-4.028366117260094e-07,-2.3840918219589138e-08
1985Q4,-2.455786566,-2.849476643,209,-2.419660201,-2.419660201,0.022912136,0.019207504,0.022912136,0.019207504,0.002847921,0.0020124733611111,5.849239166666671e-05,3.209972222222219e-06,0.008643,0.0025841833333333,6.484444444444467e-05,-7.143055555555527e-06,8153.829,95.5,95.13333333333333,-0.75,-1.6000000000000014,1.02,1.0107916666666668,-0.0083124999999999,-0.0001770833333333,0.5860086179380785,290486.98042673315,0.0001512702127872,0.5810801385157851,288187.1508196263,0.0001510441858329,-0.0027868378395989,-0.0004901316519386,7105.689191711135,419.0637220717326,2.152476524109725e-07,-2.2605911192556042e-07
1986Q1,-2.289411046,-2.891773147,216,-2.389788243,-2.389788243,0.04303791,0.011160442,0.04303791,0.011160442,-0.000292924,0.00209220915,-5.240039999999989e-05,-5.735466944444456e-05,0.007196,0.0025250222222222,-5.229999999999992e-05,-4.951805555555562e-05,8190.552,88.2,88.1,-2.450000000000003,1.0749999999999993,0.47,0.710125,-0.0043124999999999,-7.291666666664476e-05,0.5614349847683181,313253.83799830684,0.0001489239252753,0.5609873484397823,310072.69943927205,0.0001493103043217,-0.0107429176746309,-0.0004452806138194,4036.5444216284086,-2703.437768266929,-1.3270026096478049e-06,-2.929716548288517e-07
1986Q2,-2.424167119,-2.813614432,227,-2.33358438,-2.33358438,0.045233021,0.011357902,0.045233021,0.011357902,0.004967949,0.0003649650788888,9.736772222222165e-06,7.609722638888888e-05,0.012943,0.0003968388888888,2.105000000000005e-05,8.77458333333333e-05,8268.935,86.2,86.36666666666666,-0.0499999999999971,-0.0250000000000021,0.54,0.7324583333333333,0.0045,-0.0005729166666666,0.5380224825839138,313840.88847181125,0.0001447565541374,0.5570977665406962,307836.1683614672,0.0001452836304759,0.0140845650802866,0.0063676829150514,-4638.719090372615,-2120.417524208926,-9.958610653311786e-07,4.061003561137754e-07
1986Q3,-2.287174976,-2.757753523,232,-2.299322202,-2.299322202,0.065753713,0.008033132,0.065753713,0.008033132,0.006132835,0.0007643453722222,0.0001311142444444,-4.597640555555559e-05,0.016619,0.0011055666666666,0.0001212555555555,-5.794722222222216e-05,8313.338,86.6,86.9,0.3500000000000014,0.2000000000000028,1.07,0.932625,0.0016041666666666,0.00015625,0.6009643022716736,288264.1353745696,0.0001452688447555,0.5901067465426907,295704.1265094397,0.0001443456859014,0.0003543107611415,-0.0075057354334976,-1153.273002872069,658.8858946592518,-9.519523543597733e-08,-2.719098570145304e-07
1986Q4,-2.186624511,-2.593189622,232,-2.202076954,-2.202076954,0.061299285,-0.032827193,0.061299285,-0.032827193,-0.004930764,0.0022351776588888,-7.341794444444593e-06,-6.004556805555572e-05,0.002321,0.0025348722222222,-2.2322222222221928e-05,-4.877222222222238e-05,8375.274,86.9,87.93333333333334,0.8500000000000014,0.9499999999999992,0.88,0.9146666666666668,-0.0014791666666666,0.0001145833333333,0.5693164092368864,282988.42737478664,0.0001422187636939,0.5789665899203855,296417.3716405393,0.0001429044982113,0.0001793848540568,0.0048302280792862,8568.22636498374,5626.874645744872,-3.3585419117214334e-07,1.6255242661105038e-07
1987Q1,-2.132431374,-2.726967683,233,-2.176723633,-2.176723633,9.93e-05,-0.049299436,9.93e-05,-0.049299436,0.008644537,0.0010221388,6.95367416666667e-05,-9.982809861111112e-05,0.0191579999999999,0.0012721111111111,6.305277777777791e-05,-0.0001316736111111,8465.63,90.5,91.06666666666666,1.1499999999999986,0.5249999999999986,0.97,0.8695,-0.0007083333333333,0.0002291666666666,0.5843630382775119,327970.79609898326,0.0001408591908981,0.5779345724639419,324508.2632441061,0.0001411676529446,-0.0120568727550181,-0.0076536012518219,-958.4513537425082,-5147.407616572775,-1.209079895656993e-06,-3.628399828317725e-07
1987Q2,-2.211115014,-2.64764333,239,-2.2018783,-2.2018783,-0.037299587,-0.01955401,-0.037299587,-0.01955401,-0.01266645,0.0015428582111111,-5.763634722222234e-05,-5.5682933333333295e-05,-0.004197,0.0018400277777777,-1.0177777777777724e-05,-5.5477777777777904e-05,8539.075,94.5,94.63333333333333,0.8999999999999986,0.0,0.9,0.95875,0.0009375,-0.00021875,0.5312778020061055,326841.8165049077,0.000136453095967,0.5345260877356809,324610.8361260758,0.000136095839497,-0.0069552651614562,0.0037873973065622,4278.833511707227,99.19488821264532,-2.2482861734081545e-06,-4.131811198986854e-07
1987Q3,-2.262088512,-2.799845167,241,-2.251322806,-2.251322806,-0.039008692,0.014395944,-0.039008692,0.014395944,0.000435202,-0.0029057787188888,-0.0002666088722222,-3.460873055555528e-05,0.009172,-0.0029421444444444,-0.0003119277777777,-1.6156944444444335e-05,8685.694,96.0,96.1,-0.3500000000000014,-0.3250000000000028,1.03,1.089375,0.0006458333333334,-0.0001041666666666,0.5071450747953712,325511.8221821663,0.0001275218908472,0.5673493633683279,304840.9191224191,0.0001318359867693,0.0472901029458484,0.0161321618055589,-25650.329867696622,-6118.408765012893,1.2973507193009569e-06,1.6961136769316632e-06
1987Q4,-2.280764893,-2.711403397,246,-2.279895684,-2.279895684,-0.008507698,0.012275818,-0.008507698,0.012275818,-0.003146938,0.0018096571555555,0.0001111463666666,-0.0002736966833333,0.0032819999999999,0.0016360611111111,8.181111111111097e-05,-0.0002507652777777,8730.569,94.9,94.73333333333332,-0.4499999999999957,0.2999999999999971,1.06,1.099125,0.0011041666666666,0.000125,0.663298112144266,261639.03405153143,0.0001373860196982,0.6596028360610022,259318.871061014,0.0001362834347675,-0.0102142955681186,-0.0157798476757945,7571.954634994385,9186.9753866486,-2.3919220445633928e-08,-7.469377110895929e-07
